,mol_id,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
67440,gdb_67441,2.31736,1.9404,1.8172,1.1303,80.56,-0.2221,-0.0079,0.2142,914.4573,0.160606,-385.838805,-385.831562,-385.830618,-385.869825,30.195,-1880.84527588,-1893.1877504011,-1903.856658419,-1751.0557068831
67480,gdb_67481,2.52673,1.6296899999999999,1.25483,3.7385,77.36,-0.2431,0.0141,0.2572,1038.6839,0.135792,-380.795995,-380.788114,-380.78717,-380.82813500000003,30.54,-1693.449125665,-1703.6135164471,-1713.096432455,-1577.373138354
67520,gdb_67521,2.43267,1.7969700000000002,1.4994100000000001,3.6452,75.06,-0.2318,0.0288,0.2606,969.1468,0.148284,-401.932734,-401.925025,-401.924081,-401.96452,30.622,-1791.1823973970002,-1802.3432724711,-1812.419184484,-1668.2508742610999
67560,gdb_67561,2.80888,2.0257099999999997,1.4834100000000001,1.6139,81.63,-0.2213,0.0944,0.3157,949.138,0.172903,-365.929376,-365.922456,-365.921511,-365.960059,29.778000000000002,-1925.408455024,-1938.8421676960998,-1950.10344421,-1788.6698513610997
67600,gdb_67601,2.76973,1.8752,1.79518,0.9373,72.84,-0.2234,0.0774,0.3008,874.6609,0.15078699999999998,-401.927608,-401.921132,-401.920188,-401.957925,27.778000000000002,-1787.9657862631,-1799.9003799341,-1809.9762919470002,-1664.112452406
67640,gdb_67641,3.2079400000000002,1.7735599999999998,1.5734700000000001,1.7808,81.28,-0.2149,0.0872,0.3021,947.7398,0.17363800000000001,-365.968497,-365.961594,-365.96064900000005,-365.999273,29.156999999999996,-1949.9572346131,-1963.4016149381,-1974.6628914520002,-1813.2769892871
67680,gdb_67681,2.13415,2.07077,1.6127,0.4877,87.99,-0.2196,0.0005,0.2201,988.5026,0.184831,-349.928051,-349.920514,-349.91956899999997,-349.959415,31.259,-2073.181176943,-2087.1168968151,-2098.971169334,-1930.492532942
67720,gdb_67721,3.7509099999999997,1.84473,1.6006200000000002,3.5298,76.43,-0.2099,-0.0442,0.1657,871.6854,0.136573,-380.743135,-380.736623,-380.735678,-380.773452,27.779,-1660.278999925,-1671.3024505279998,-1680.7847390270001,-1543.0590637070002
67760,gdb_67761,2.64415,2.07214,1.59503,2.8913,64.83,-0.2454,-0.0327,0.2127,845.6537,0.10093300000000001,-436.653827,-436.647027,-436.64608300000003,-436.68473600000004,27.121,-1480.1751317991,-1488.351574069,-1496.0555020620002,-1383.179183142
67800,gdb_67801,2.3195,1.94403,1.57271,1.203,79.52,-0.2178,0.0184,0.2362,960.8431,0.159521,-385.862175,-385.854369,-385.853425,-385.893706,31.919,-1895.51016121,-1907.4993481641,-1918.168256182,-1766.0412493120998
67840,gdb_67841,2.35236,2.2387900000000003,1.63129,2.9073,70.8,-0.2369,0.0279,0.2648,887.2233,0.13755699999999998,-417.971327,-417.964333,-417.963389,-418.00230600000003,28.241999999999997,-1666.79568089,-1677.516044646,-1686.998960654,-1549.7351319579998
67880,gdb_67881,2.85325,2.1072599999999997,1.4068,3.4538,71.9,-0.2237,0.0187,0.2423,910.2891,0.137034,-417.953957,-417.946648,-417.945704,-417.985412,29.035999999999998,-1655.89584956,-1666.418547981,-1675.901463989,-1539.1339949120002
67920,gdb_67921,2.02923,1.83064,1.18215,5.6165,70.85,-0.2653,-0.0205,0.2447,1049.2289,0.112312,-416.818011,-416.809976,-416.809032,-416.850628,29.909000000000002,-1570.9311309601,-1579.221152359,-1587.5180763570002,-1468.2694035420002
67960,gdb_67961,2.23887,1.85716,1.3171700000000002,3.8705,76.08,-0.23600000000000002,0.0226,0.2586,1037.0441,0.16117,-419.21756,-419.209635,-419.208691,-419.249749,31.331,-1820.966484573,-1832.8797429381,-1843.548650956,-1691.2942597591
68000,gdb_68001,2.9710099999999997,1.8541,1.35979,4.8036,64.28,-0.2494,-0.0118,0.2376,925.0422,0.112675,-457.74978200000004,-457.74294000000003,-457.741996,-457.780857,26.971999999999998,-1552.3160764751,-1561.354716111,-1569.651640109,-1448.790896673
68040,gdb_68041,2.08968,1.79286,1.26803,0.11699999999999999,91.05,-0.2603,0.0891,0.3494,1142.4231,0.204764,-351.104426,-351.095324,-351.09438,-351.137316,36.429,-2183.515456904,-2198.2462306791,-2211.2871227170003,-2028.4134298651002
68080,gdb_68081,2.50408,1.6672799999999999,1.22109,1.5877,77.99,-0.244,0.0705,0.3145,1088.0817,0.182753,-424.22057300000006,-424.212099,-424.21115499999996,-424.252811,34.106,-1983.3896591151001,-1996.7361480360998,-2008.5910480641,-1840.737410636
68120,gdb_68121,3.5555800000000004,1.25584,1.10661,2.8306,81.14,-0.2375,-0.0238,0.2137,1147.7682,0.15837400000000001,-385.871017,-385.862813,-385.861869,-385.90366800000004,32.138000000000005,-1901.0585957880999,-1912.7980341601,-1923.466942178,-1772.2924939701002
68160,gdb_68161,3.2888300000000004,1.37065,1.1679,3.1645,81.94,-0.2317,-0.0044,0.2272,1125.8658,0.183866,-387.121822,-387.11366499999997,-387.112721,-387.154278,32.64,-2058.0983706191,-2071.6444074021,-2083.49930743,-1915.8389427739999
68200,gdb_68201,3.70842,1.2231100000000001,1.13753,2.0045,77.28,-0.231,0.0358,0.2668,1113.1343,0.147971,-401.872997,-401.865103,-401.86415800000003,-401.90499500000004,31.836,-1753.6968922639999,-1764.7416781729999,-1774.8169626770002,-1630.898401036
68240,gdb_68241,2.68977,1.7482099999999998,1.3764100000000001,0.1212,88.24,-0.2709,0.0871,0.358,1055.1195,0.208821,-351.141048,-351.133532,-351.132588,-351.172333,32.232,-2206.4960915020997,-2222.2220945511,-2235.262986589,-2050.386912518
68280,gdb_68281,2.17262,1.6500599999999999,1.47432,3.0184,76.1,-0.2467,-0.031,0.2157,1028.5661,0.15692899999999999,-422.98375,-422.974687,-422.97374299999996,-423.01749299999994,33.961,-1835.1237151220998,-1846.3234957541001,-1856.9924037720998,-1706.7868294601
68320,gdb_68321,3.43819,1.04799,0.93811,4.8434,76.63,-0.2755,0.0396,0.3151,1267.3191,0.148024,-401.914075,-401.905835,-401.904891,-401.947397,31.53,-1779.4737069660998,-1790.3013747610999,-1800.377286774,-1657.5060376541
68360,gdb_68361,2.68876,1.66953,1.24448,3.3480000000000003,80.26,-0.2463,0.0289,0.2752,1066.9527,0.17230399999999998,-403.167604,-403.159736,-403.158792,-403.19973999999996,31.854,-1938.2228163130999,-1951.0610229441,-1962.322926967,-1802.1399595551002
68400,gdb_68401,2.19781,1.8249400000000002,1.5425799999999998,1.9435,77.16,-0.2556,0.0656,0.3212,1004.2379,0.182739,-424.22379900000004,-424.21530599999994,-424.21436100000005,-424.25583,35.084,-1985.4140031491,-1998.7485693991,-2010.602841918,-1842.6318603070001
68440,gdb_68441,2.5173900000000002,1.6867599999999998,1.31551,1.5534,74.76,-0.2466,-0.027000000000000003,0.2197,1026.3485,0.158848,-423.02384299999994,-423.01568899999995,-423.014745,-423.056567,31.409000000000002,-1860.2824334591,-1872.0526197721,-1882.72152779,-1731.3061161260998
68480,gdb_68481,2.63347,1.59802,1.23781,1.3307,84.69,-0.2363,0.0791,0.3155,1117.8010000000002,0.20809,-388.290105,-388.282042,-388.28109700000005,-388.321848,33.782,-2163.3548477520003,-2178.7369758691,-2191.777240398,-2007.277044218
68520,gdb_68521,2.8451299999999997,1.7464099999999998,1.42737,3.162,77.27,-0.2489,-0.0117,0.2372,972.1681,0.149361,-401.97087200000004,-401.96362799999997,-401.96268399999997,-402.00207,29.820999999999998,-1815.1143356391,-1826.5670023981,-1836.642914411,-1691.8138372110998
68560,gdb_68561,2.59842,1.63278,1.37437,2.3983,72.48,-0.257,-0.0239,0.233,984.8202,0.12386099999999998,-400.718906,-400.711286,-400.71034199999997,-400.750807,29.628,-1657.3460228591,-1666.7856407460001,-1675.675560749,-1547.85762503
68600,gdb_68601,2.26323,1.84579,1.4667700000000001,1.7375,82.24,-0.2323,0.0807,0.313,1023.9915,0.183199,-387.05600899999996,-387.048007,-387.04706200000004,-387.08790600000003,32.613,-2016.8001208020999,-2030.44342148,-2042.2976939989999,-1874.189915426
68640,gdb_68641,2.42476,2.0007599999999996,1.52867,3.4160000000000004,75.08,-0.2296,-0.0142,0.2154,936.5713,0.149783,-401.987807,-401.980454,-401.97951,-402.01911,30.037,-1825.741200554,-1837.1254688320998,-1847.201380845,-1702.506590571
68680,gdb_68681,2.41215,1.8221,1.41077,1.5025,67.93,-0.2463,-0.0242,0.2221,958.5502,0.13658800000000001,-458.96161399999994,-458.95395,-458.95300499999996,-458.993466,29.836,-1684.8999430491,-1695.1998757751,-1704.6821642741,-1568.4913759680999
68720,gdb_68721,2.42231,1.6614,1.3295700000000001,5.2032,77.18,-0.2759,0.0126,0.2885,1019.8515,0.136695,-380.832186,-380.824346,-380.823401,-380.864355,30.345,-1716.1593038839999,-1726.349422535,-1735.831711034,-1600.1015143339998
68760,gdb_68761,2.48983,1.72724,1.24147,3.5812,73.54,-0.2517,0.0264,0.2781,1037.3346,0.147379,-439.09398600000003,-439.08543,-439.084486,-439.126721,32.73,-1755.6936259020001,-1766.322373344,-1776.3982853571,-1633.101585135
68800,gdb_68801,2.95589,1.2533299999999998,1.0693700000000002,0.7712,82.48,-0.2418,0.0483,0.2901,1196.0987,0.15681199999999998,-385.831035,-385.821763,-385.820819,-385.864535,35.641,-1875.96953095,-1887.03878971,-1897.7076977279999,-1747.736184273
68840,gdb_68841,2.81747,1.46538,1.238,2.4323,69.38,-0.2277,0.0679,0.2956,1046.7878,0.13383599999999998,-458.896664,-458.88828099999995,-458.88733600000006,-458.929221,32.486999999999995,-1644.1432334991,-1653.991987254,-1663.4742757529998,-1528.177060263
68880,gdb_68881,2.3664400000000003,1.80968,1.41852,2.6172,75.09,-0.2394,0.0721,0.3115,1001.1651,0.158806,-422.97612300000003,-422.96787699999993,-422.966933,-423.00844000000006,32.186,-1830.337703979,-1842.050159464,-1852.7190674820001,-1701.105990483
68920,gdb_68921,2.19501,1.74755,1.22154,1.1775,85.21,-0.2191,0.0822,0.3012,1144.3592,0.20611500000000002,-388.292292,-388.283248,-388.282304,-388.325267,36.056,-2164.727209935,-2179.4937517231,-2192.534643761,-2009.4224974891001
68960,gdb_68961,2.82029,1.67255,1.29109,2.8286,74.79,-0.2349,-0.0306,0.2044,992.7423,0.135433,-421.83634900000004,-421.828676,-421.827732,-421.867987,30.677,-1742.970880927,-1753.265793581,-1762.7487095891001,-1626.6840505920002
69000,gdb_69001,2.9112299999999998,1.40171,1.11238,1.9338,79.63,-0.2367,0.0782,0.3149,1159.2761,0.170725,-403.09486,-403.086247,-403.08530299999995,-403.128025,33.025,-1892.5753016170002,-1904.9460140431,-1916.207918066,-1757.13815162
69040,gdb_69041,3.07709,1.36776,1.1105399999999999,1.7221,68.6,-0.2586,-0.066,0.1926,1074.8695,0.10901300000000001,-457.751046,-457.74252,-457.74157599999995,-457.784441,30.605999999999998,-1553.1092478510998,-1561.091162331,-1569.3880863289999,-1451.0398889291
69080,gdb_69081,2.45363,1.54934,1.16572,0.9315,89.44,-0.23199999999999998,0.053,0.2849,1147.4662,0.18249100000000001,-349.938176,-349.929348,-349.928404,-349.970948,35.243,-2079.534705568,-2092.6603113211,-2104.515211349,-1937.7295942391
69120,gdb_69121,2.7376400000000003,1.58791,1.23059,3.0576,76.48,-0.2362,-0.0286,0.2077,1055.4648,0.159652,-423.04679000000004,-423.03879000000006,-423.037846,-423.07876799999997,32.031,-1874.6818824820998,-1886.5487051810999,-1897.217613199,-1745.2374434351002
69160,gdb_69161,2.12207,1.7673900000000002,1.40016,1.9435,77.22,-0.2442,0.0031,0.2473,1043.045,0.157171,-419.174412,-419.165027,-419.164082,-419.207849,35.474000000000004,-1793.890726241,-1804.887821466,-1815.556101975,-1665.001632659
69200,gdb_69201,2.76491,1.56223,1.1752,5.6121,80.0,-0.2063,-0.0212,0.1851,1076.3696,0.1489,-401.98003700000004,-401.972041,-401.97109700000004,-402.012146,31.553,-1820.8654556239999,-1831.8462356151,-1841.922147628,-1698.136617895
69240,gdb_69241,2.88954,1.57379,1.20803,1.6027,74.81,-0.2385,-0.013999999999999999,0.2245,1042.1272,0.137836,-418.05579700000004,-418.048175,-418.047231,-418.087639,29.938000000000002,-1719.8013661201,-1730.1276542241,-1739.6105702321,-1603.2823574551
69280,gdb_69281,2.61927,1.5346899999999999,1.16164,5.0099,72.34,-0.235,0.0259,0.2609,1077.2274,0.14943,-439.116862,-439.108889,-439.10794500000003,-439.149055,31.523000000000003,-1770.0485217860999,-1781.043106975,-1791.1190189879999,-1647.1163711410998
69320,gdb_69321,2.75905,1.34762,1.26785,1.2661,84.81,-0.2237,0.0835,0.3072,1172.2534,0.204802,-388.296149,-388.286808,-388.285864,-388.32924199999997,37.125,-2167.1475121481,-2181.7276837631,-2194.768575801,-2011.9168457641001
69360,gdb_69361,2.97684,1.30062,1.10681,2.8756,76.42,-0.2378,-0.0303,0.2075,1165.7921,0.155853,-423.004729,-422.995496,-422.99455199999994,-423.038673,34.445,-1848.2882264331,-1859.3813305351,-1870.0502385529999,-1720.0774700801
69400,gdb_69401,4.21178,1.13042,0.99172,3.4112,74.56,-0.2436,-0.0344,0.2093,1194.3834,0.134403,-421.825891,-421.817654,-421.81670999999994,-421.85900899999996,30.744,-1736.4083918051,-1746.3493893831,-1755.832305391,-1621.0502747901
69440,gdb_69441,3.9614800000000003,1.1807,1.0184600000000001,5.9452,72.87,-0.2465,0.0259,0.2724,1169.9978,0.136197,-418.001118,-417.992885,-417.991941,-418.033894,30.889,-1685.4898015091,-1695.4326816141001,-1704.9155976220002,-1569.55688625
69480,gdb_69481,4.63591,0.83193,0.79489,5.1608,71.29,-0.2682,0.0091,0.2773,1428.1547,0.134071,-458.94625,-458.93763499999994,-458.93669000000006,-458.98074699999995,31.493000000000002,-1675.2588947730999,-1684.96206644,-1694.444354939,-1560.5100889970001
69520,gdb_69521,2.47194,1.62513,1.3216299999999999,1.2677,78.47,-0.2404,0.0742,0.3145,1080.9072,0.168745,-403.096495,-403.087296,-403.086351,-403.129658,35.125,-1893.6012788320002,-1905.6042709839999,-1916.8655474979998,-1758.1628738170002
69560,gdb_69561,2.76228,1.527,1.3726200000000002,1.4612,74.59,-0.2424,0.0731,0.3155,1032.0742,0.158175,-422.96653499999996,-422.958392,-422.95744800000006,-422.998554,32.635999999999996,-1824.3211476871,-1836.0982365989998,-1846.7671446170002,-1694.9024365091
69600,gdb_69601,3.51934,1.31215,1.20507,2.3165,76.07,-0.2334,0.0886,0.322,1114.1866,0.158377,-423.00088600000004,-422.992754,-422.991809,-423.033264,31.903000000000002,-1845.8767093461,-1857.6607008570002,-1868.328981366,-1716.683273899
69640,gdb_69641,3.1076900000000003,1.2928,1.17041,2.9936,74.54,-0.2405,-0.0228,0.2177,1108.3286,0.133692,-421.77047400000004,-421.762374,-421.76142999999996,-421.80303499999997,30.995,-1701.6337255520002,-1711.6606918631,-1721.143607871,-1585.9260860241
69680,gdb_69681,3.16656,1.39029,1.24337,2.6071,78.66,-0.2237,0.0387,0.2624,1069.1535,0.133352,-384.57500899999997,-384.566876,-384.565932,-384.607302,31.985,-1715.6535316301001,-1725.660417653,-1735.143333661,-1600.0337433620002
69720,gdb_69721,3.77031,1.41323,1.2417200000000002,3.3512,68.41,-0.2361,-0.0086,0.2275,996.7943,0.124149,-437.838304,-437.83104000000003,-437.83009599999997,-437.86980199999994,28.898000000000003,-1595.593489678,-1605.25587326,-1614.1457932629999,-1485.59618205
69760,gdb_69761,3.15105,1.51053,1.2964200000000001,1.8366,69.11,-0.2562,0.0197,0.2759,988.8906,0.124476,-437.831547,-437.82430199999993,-437.823358,-437.86301799999995,28.962,-1591.3534113651,-1601.0277176179998,-1609.917637621,-1481.3391609941
69800,gdb_69801,2.6412400000000003,1.92796,1.35156,3.3445,68.14,-0.2512,-0.0239,0.2272,938.8984,0.124597,-437.862744,-437.855361,-437.854417,-437.89435,29.105,-1610.9298096380999,-1620.517519649,-1629.4074396520002,-1501.000272982
69840,gdb_69841,3.0251,1.5405,1.25458,2.5669999999999997,78.06,-0.2171,0.0728,0.29,1052.8927,0.172741,-403.10895899999997,-403.101335,-403.100391,-403.140359,31.858,-1901.4225510081,-1914.4138698351,-1925.675773858,-1764.8778476260998
69880,gdb_69881,2.77247,1.6615900000000001,1.20505,3.2437,70.38,-0.2513,-0.0128,0.2385,1000.9162,0.11227100000000001,-416.730191,-416.722572,-416.72162799999995,-416.762063,29.767,-1515.82329058,-1524.3743557231,-1532.671279721,-1412.6940689570001
69920,gdb_69921,3.0877,1.78069,1.6587,1.7355,73.97,-0.2319,0.0154,0.2472,903.8201,0.149312,-401.90115699999996,-401.894259,-401.893315,-401.931933,28.886,-1771.367545704,-1783.0373305770001,-1793.11324259,-1647.802238478
69960,gdb_69961,2.42017,1.83903,1.34365,2.0605,81.37,-0.2374,0.0681,0.3054,1045.6504,0.182272,-387.038675,-387.030366,-387.029421,-387.070792,33.488,-2005.9228797960998,-2019.3735352110998,-2031.22780773,-1863.4507264000001
70000,gdb_70001,2.82986,1.6656400000000002,1.56287,1.1981,80.1,-0.2471,0.0834,0.3305,977.5167,0.185977,-387.08437999999995,-387.077285,-387.07634,-387.115175,30.956,-2034.6031786411,-2048.8156299821,-2060.6699025010003,-1891.3014583471
70040,gdb_70041,4.06391,1.0721,0.94663,0.9819,92.35,-0.2147,-0.0162,0.1985,1283.8806,0.158691,-348.733493,-348.72504100000003,-348.724096,-348.766083,33.513000000000005,-1951.4369008351,-1963.0213444839999,-1973.6896249929998,-1822.88854464
70080,gdb_70081,2.66351,1.83978,1.35839,3.1128,76.64,-0.2419,-0.0046,0.2374,987.9988,0.148926,-401.915019,-401.907624,-401.90668,-401.946421,29.94,-1780.066075462,-1791.423988362,-1801.499900375,-1656.89358887
70120,gdb_70121,2.51056,1.56067,1.16333,3.1034,73.62,-0.2448,-0.0358,0.209,1076.3213,0.134452,-421.825692,-421.817469,-421.816525,-421.858838,30.725,-1736.2835175141001,-1746.2333002180999,-1755.7162162260001,-1620.9429707511
70160,gdb_70161,2.6726799999999997,1.6951200000000002,1.1850100000000001,5.8228,70.1,-0.2358,-0.0641,0.1718,1028.6617,0.12454100000000001,-437.92772599999995,-437.91974400000004,-437.9188,-437.96013600000003,30.217,-1651.7065994760999,-1660.9184315960001,-1669.808351599,-1542.2815800560002
70200,gdb_70201,3.58935,1.31885,1.12695,5.0503,72.17,-0.2534,0.0484,0.3019,1108.2082,0.149118,-439.123164,-439.115174,-439.114229,-439.155505,30.934,-1774.003083504,-1784.9870010401,-1795.0622855441,-1651.163804191
70240,gdb_70241,2.75299,1.3012700000000001,1.1716,1.5062,84.36,-0.2368,0.0648,0.3016,1200.057,0.20516399999999999,-388.295101,-388.285886,-388.284942,-388.328234,37.275,-2166.4898827161,-2181.1491204651,-2194.1900125029997,-2011.2843166921
70280,gdb_70281,3.7924900000000004,1.03052,0.9238700000000001,2.2939,80.35,-0.2374,-0.0249,0.2125,1309.1119,0.170888,-403.149155,-403.140534,-403.13959,-403.182621,32.768,-1926.6459027720002,-1939.0115951260998,-1950.273499149,-1791.397632984
70320,gdb_70321,3.0074799999999997,1.51931,1.2379799999999999,1.7153,77.5,-0.2268,0.0808,0.3076,1063.2033,0.17282899999999998,-403.10695400000003,-403.09936400000004,-403.09842000000003,-403.138461,31.629,-1900.164395463,-1913.1770495960998,-1924.438953619,-1763.6868355441
70360,gdb_70361,2.78817,1.67393,1.35707,3.2123,77.71,-0.2318,0.0704,0.3022,1024.4132,0.172964,-403.120031,-403.112431,-403.111487,-403.151777,30.624000000000002,-1908.370330656,-1921.3767096991,-1932.6386137220002,-1772.042745388
70400,gdb_70401,2.40918,1.54475,1.3638299999999999,3.7602,75.9,-0.2428,0.0247,0.2676,1037.3788,0.148528,-398.100819,-398.092133,-398.091189,-398.133504,33.865,-1735.7821378229999,-1746.329309095,-1756.405221108,-1613.0545551121
70440,gdb_70441,2.6026599999999998,1.39016,1.19134,1.6917,81.48,-0.2276,0.0719,0.2994,1159.6122,0.181883,-387.034324,-387.025616,-387.024672,-387.067786,33.69,-2003.1925881370998,-2016.3928674610997,-2028.247767489,-1861.5644343461
70480,gdb_70481,3.26722,1.02617,0.9038700000000001,4.8007,79.49,-0.2316,0.0275,0.2591,1349.1424,0.158576,-419.158772,-419.149781,-419.148837,-419.193467,32.903,-1784.076485481,-1795.3208192521,-1805.98972727,-1655.976798221
70520,gdb_70521,2.42846,1.72478,1.25321,1.0526,83.3,-0.2344,0.0222,0.2566,1088.1949,0.183508,-387.080599,-387.072357,-387.071413,-387.11283199999997,33.224000000000004,-2032.2305671120998,-2045.7232656301,-2057.5781656579998,-1889.8312047601
70560,gdb_70561,2.81331,1.49771,1.1719700000000002,2.2326,73.07,-0.253,0.0275,0.2805,1070.9944,0.148545,-439.086986,-439.07902699999994,-439.078083,-439.119274,31.351,-1751.3010629020998,-1762.3044332170002,-1772.38034523,-1628.4285256121
70600,gdb_70601,2.06612,1.8344799999999999,1.41815,2.6267,76.99,-0.2242,0.0611,0.2853,1051.2935,0.18124400000000002,-424.21845099999996,-424.20934900000003,-424.20840499999997,-424.25130099999996,35.946999999999996,-1982.0580850171,-1995.010498286,-2006.8653983141,-1839.789872046
70640,gdb_70641,2.4285,1.57932,1.15504,5.037,79.25,-0.2489,0.0398,0.2887,1109.4073,0.161098,-382.085805,-382.07752999999997,-382.07658599999996,-382.118478,31.927,-1874.964889041,-1886.6591467651,-1897.328054783,-1745.852402255
70680,gdb_70681,2.58731,1.6914200000000001,1.26567,1.7989,71.52,-0.2425,0.0129,0.2554,1017.6177,0.149226,-439.06859000000003,-439.060839,-439.05989500000004,-439.10053700000003,30.664,-1739.757407338,-1750.891299525,-1760.967211538,-1616.670889479
70720,gdb_70721,2.4969900000000003,1.51235,1.11369,0.3904,92.15,-0.2235,0.0274,0.2509,1204.4002,0.20807399999999998,-351.161906,-351.153371,-351.152427,-351.194608,34.54,-2219.584674224,-2234.6712456021,-2247.71213764,-2064.3646754931
70760,gdb_70761,2.4940700000000002,1.6683,1.22738,1.2555,71.31,-0.2339,0.0816,0.3155,1054.7578,0.159978,-460.1326,-460.12469400000003,-460.12374900000003,-460.16456900000003,31.708000000000002,-1791.8525770091,-1803.777758045,-1814.4460385539999,-1662.146466709
70800,gdb_70801,2.91285,1.5245,1.2069,3.5367,80.12,-0.23,0.0133,0.2433,1091.6592,0.158076,-385.876917,-385.868492,-385.867548,-385.909417,32.734,-1904.7608988881,-1916.3616577710998,-1927.0305657889999,-1775.9000432111
70840,gdb_70841,2.99364,1.7395599999999998,1.40751,0.0637,85.62,-0.2321,0.0954,0.3275,1019.7858,0.182721,-349.896342,-349.888627,-349.887683,-349.92771400000004,32.301,-2053.283494062,-2067.1075173321,-2078.96241736,-1910.599870133
70880,gdb_70881,2.52077,1.59721,1.39424,1.7801,71.82,-0.2061,0.065,0.2711,1017.1587,0.14643299999999998,-439.00763,-438.99914,-438.998196,-439.039951,33.411,-1701.5044586981,-1712.1746217339999,-1722.2505337471,-1578.652629205
70920,gdb_70921,3.42655,1.49225,1.2743,0.0862,88.63,-0.2364,0.0187,0.2551,1075.0719,0.184199,-349.899809,-349.892378,-349.891434,-349.931015,31.424,-2055.459067765,-2069.4613035910997,-2081.316203619,-1912.6712773421
70960,gdb_70961,3.8879900000000003,1.27845,1.14066,1.7974,83.66,-0.2434,0.0204,0.2638,1119.6791,0.146954,-364.730748,-364.722724,-364.72177999999997,-364.76281800000004,31.872,-1801.1102172861,-1812.0740545341,-1822.149966547,-1678.6129303781
71000,gdb_71001,3.06547,1.6148200000000001,1.47106,2.5215,76.15,-0.2293,0.0527,0.282,982.1453,0.159184,-422.912992,-422.90560199999993,-422.904658,-422.94422099999997,30.443,-1790.7224333000001,-1802.9720364891,-1813.640944507,-1660.8079900121
71040,gdb_71041,3.39684,1.54463,1.26686,4.7072,78.38,-0.2362,-0.081,0.1552,993.8779,0.12362100000000001,-400.64288799999997,-400.635588,-400.634644,-400.67433900000003,28.945,-1609.6440436971,-1619.284464464,-1628.1743844670002,-1499.8732668179998
71080,gdb_71081,2.61042,1.58555,1.3342399999999999,3.5407,69.64,-0.2229,0.0034,0.2263,1002.9686,0.12321800000000001,-437.824387,-437.816404,-437.81546,-437.856589,30.736,-1586.860446925,-1596.071651536,-1604.961571539,-1477.3049056329999
71120,gdb_71121,2.76309,1.82715,1.5705,1.3807,80.65,-0.2281,0.0815,0.3096,966.8198,0.185343,-387.108109,-387.10073,-387.099786,-387.139367,30.862,-2049.4933397021,-2063.5275784871,-2075.382478515,-1906.4821560751002
71160,gdb_71161,2.6290299999999998,1.8561400000000001,1.47404,1.6159,78.57,-0.2249,0.0843,0.3092,971.9615,0.15844,-385.808866,-385.801219,-385.800275,-385.840462,31.194000000000003,-1862.0582839291,-1874.147244814,-1884.8161528320002,-1732.630160116
71200,gdb_71201,2.75759,1.99341,1.45941,1.5384,79.28,-0.2163,0.023,0.2394,949.5903,0.160449,-385.870721,-385.86353399999996,-385.86259,-385.901691,30.08,-1900.8728531241,-1913.2504681491,-1923.919376167,-1771.0519086770998
71240,gdb_71241,2.7197,1.82627,1.67639,0.6571,73.7,-0.2378,0.0673,0.3051,910.6462,0.161323,-422.993304,-422.98640599999993,-422.985462,-423.023949,29.484,-1841.1189361081,-1853.677273725,-1864.346181743,-1710.8380275641
71280,gdb_71281,2.75766,2.0365599999999997,1.49831,1.95,74.28,-0.2434,0.0207,0.2641,918.5536,0.149662,-401.93375,-401.926813,-401.925869,-401.964582,28.715999999999998,-1791.819946541,-1803.465258563,-1813.541170576,-1668.2897798191
71320,gdb_71321,3.84884,1.46918,1.29824,3.6756,72.09,-0.2292,-0.0283,0.201,995.2931,0.135546,-421.79617300000007,-421.788817,-421.78787300000005,-421.827763,29.003,-1717.7600793431,-1728.2539123501,-1737.736828358,-1601.4431285760998
71360,gdb_71361,3.05976,1.86905,1.52942,1.8102,74.11,-0.2244,0.0833,0.3076,912.3185,0.148525,-401.853916,-401.847017,-401.846073,-401.884898,28.504,-1741.7233930351001,-1753.392550399,-1763.4684624120002,-1618.2873526631
71400,gdb_71401,3.6005800000000003,1.3766200000000002,1.31839,1.5230000000000001,83.55,-0.2326,0.0925,0.3252,1076.7545,0.171095,-365.936329,-365.928594,-365.92764900000003,-365.968009,31.609,-1929.771525101,-1942.693817938,-1953.9550944520001,-1793.6585479111
71440,gdb_71441,3.9924699999999995,1.37668,1.2365899999999999,2.7119,75.36,-0.2323,-0.0153,0.217,1043.4963,0.148398,-401.937186,-401.929761,-401.92881600000004,-401.968805,29.605999999999998,-1793.976067465,-1805.315155095,-1815.390439599,-1670.939750326
71480,gdb_71481,3.78185,1.2455200000000002,1.0927799999999999,3.6558,77.84,-0.2467,-0.0267,0.22,1138.2373,0.14695899999999998,-401.898457,-401.890515,-401.889571,-401.93077900000003,30.629,-1769.673271404,-1780.6879368810999,-1790.763848894,-1647.078093092
71520,gdb_71521,2.60022,1.5240200000000002,1.4269,1.3349,83.45,-0.2398,0.0327,0.2725,1028.896,0.146439,-364.690442,-364.68239500000004,-364.681451,-364.722607,31.875,-1775.817839532,-1786.7672440729998,-1796.8431560860001,-1653.380165979
71560,gdb_71561,2.9587,1.6460099999999998,1.47583,3.279,78.94,-0.2289,-0.0011,0.2278,977.2866,0.160662,-385.882397,-385.87514,-385.874196,-385.913649,29.805,-1908.1996482081,-1920.5333376030999,-1931.202245621,-1778.5556612991
